SubjectID,rateTimeP0,rateTimeP1,rateTimeS0,rateTimeS1,rateTimeOther,passRate,longRate,tightRate,mean_minDistToFlag,mean_lastRiseSec,mean_p1Duration,mean_p1CountPerSection
1,0.270393,0.677705,0.000000,0.001056,0.050847,100.000000,100.000000,100.000000,3.071241,1.320642,0.915908,1.073529
2,0.592585,0.369503,0.001508,0.011810,0.024594,42.857143,42.857143,23.333333,3.347722,0.631187,0.320344,1.669118
3,0.541805,0.431345,0.003203,0.002781,0.020866,95.714285,95.714285,93.333335,2.581331,0.834468,0.385005,1.639706
4,0.555882,0.411384,0.000638,0.007017,0.025079,94.285715,94.285715,86.666670,2.370060,0.796500,0.355418,1.676471
5,0.539013,0.439438,0.000000,0.000215,0.021334,97.142857,97.142857,96.666670,2.733910,0.776352,0.375358,1.683824
6,0.547745,0.419971,0.001080,0.003213,0.027992,81.428573,81.428573,73.333338,2.836667,0.556424,0.337536,1.786765
7,0.108983,0.359603,0.000000,0.002553,0.528861,96.428570,96.428570,93.333335,2.437533,1.090329,0.805263,0.654412
8,0.594820,0.367643,0.000481,0.001770,0.035287,99.285715,99.285715,98.333335,3.701727,0.648980,0.364347,1.463235
9,0.727476,0.185651,0.003068,0.038454,0.045352,93.571427,93.571427,90.000000,3.393832,0.539796,0.167981,1.595588
10,0.703785,0.229538,0.010918,0.032581,0.023178,97.857142,97.857142,98.333335,2.761771,0.467916,0.196873,1.683824
11,0.729149,0.213184,0.009220,0.034207,0.014241,83.571433,83.571433,74.999998,2.974543,0.568546,0.205029,1.507353
12,0.605605,0.243703,0.018680,0.069500,0.062512,96.428570,96.428570,91.666665,3.165414,0.683994,0.212713,1.639706
